Coords	Name	MIRNA	white_1_trimmed	white_2_trimmed	red_1_trimmed	red_2_trimmed	SRR1586419_trimmed	SRR1586420_trimmed	SRR1586421_trimmed	SRR1586422_trimmed	SRR1586423_trimmed	SRR1586424_trimmed	SRR1586425_trimmed	SRR1586426_trimmed
Fvb2:13913453-13913959	User_locus_1754	N	36	17	68	35	24	36	16	101	39	82	72	26
Fvb2:13981917-13982503	User_locus_1755	N	17	11	43	0	0	18	3	57	23	51	29	11
Fvb2:14018694-14019043	User_locus_1756	N	26	6	13	4	0	17	0	11	0	9	27	7
Fvb2:14062278-14062741	User_locus_1757	N	105	97	43	75	47	4	21	189	59	410	207	15
Fvb2:14074514-14074908	User_locus_1758	N	23	0	3	4	0	38	1	29	17	26	28	4
Fvb2:14124839-14125025	User_locus_1759	N	1	6	10	4	1	0	2	10	8	14	5	2
Fvb2:14144682-14145108	User_locus_1760	N	84	48	36	35	10	37	4	30	28	55	51	4
Fvb2:14145730-14146156	User_locus_1761	N	41	27	30	11	9	36	25	129	83	157	26	25
Fvb2:14156261-14156551	User_locus_1762	N	3	16	14	2	1	0	0	8	15	17	12	0
Fvb2:14205451-14205888	User_locus_1763	N	1	0	0	0	3	8	1	23	0	5	1	0
Fvb2:14210682-14211174	User_locus_1764	N	17	0	0	7	0	29	19	54	49	109	54	7
Fvb2:14211176-14211569	User_locus_1765	N	27	9	23	28	0	11	7	57	11	78	46	7
Fvb2:14219360-14219717	User_locus_1766	N	32	27	14	6	5	40	9	34	28	96	51	10
Fvb2:14219420-14220025	User_locus_1767	N	68	47	23	14	4	40	9	36	28	135	66	18
Fvb2:14276390-14276782	User_locus_1768	N	6	7	1	8	0	144	1	13	4	49	42	40
Fvb2:14277394-14277707	User_locus_1769	N	18	29	6	5	0	19	9	76	17	59	56	0
Fvb2:14297256-14297893	User_locus_1770	N	72	56	33	25	0	17	3	31	34	122	63	0
Fvb2:14316182-14316439	User_locus_1771	N	7	8	5	1	4	8	7	40	35	18	26	1
Fvb2:14386094-14386502	User_locus_1772	N	41	31	20	30	23	94	29	222	94	161	131	71
Fvb2:14402761-14403164	User_locus_1773	N	20	7	12	0	0	6	0	3	0	11	9	0
Fvb2:14428778-14429226	User_locus_1774	N	0	0	5	0	8	15	4	26	14	36	45	5
Fvb2:14442630-14442972	User_locus_1775	N	117	71	80	30	15	104	61	205	41	417	320	67
Fvb2:14490741-14491145	User_locus_1776	N	59	74	55	23	9	66	0	102	39	96	99	28
Fvb2:14510916-14511374	User_locus_1777	N	279	232	224	139	136	536	196	880	583	1198	1175	292
Fvb2:14511383-14511733	User_locus_1778	N	13	25	11	2	8	53	36	80	49	54	63	23
Fvb2:14511431-14512074	User_locus_1779	N	30	38	16	1	7	45	32	84	63	68	33	16
Fvb2:14512075-14512585	User_locus_1780	N	13	17	13	3	1	0	5	23	25	13	8	1
Fvb2:14512587-14513224	User_locus_1781	N	15	7	0	0	3	7	24	17	20	28	0	1
Fvb2:14519983-14520246	User_locus_1782	N	1	6	18	27	0	39	44	65	53	55	31	11
Fvb2:14520277-14520733	User_locus_1783	N	46	26	22	11	41	150	7	61	58	285	190	0
Fvb2:14520738-14521127	User_locus_1784	N	46	41	41	37	16	28	4	26	19	142	86	12
Fvb2:14521134-14521498	User_locus_1785	N	87	80	87	58	7	36	14	45	77	123	48	28
Fvb2:14521520-14521918	User_locus_1786	N	55	39	34	23	0	120	15	59	52	266	212	24
Fvb2:14537476-14537926	User_locus_1787	N	33	14	27	7	0	103	18	67	68	173	145	24
Fvb2:14537962-14538289	User_locus_1788	N	0	5	0	0	0	7	0	16	0	5	0	0
Fvb2:14589513-14589800	User_locus_1789	N	81	53	44	31	29	91	41	192	134	216	148	52
Fvb2:14657252-14657733	User_locus_1790	N	8	5	8	5	4	2	1	13	8	22	21	4
Fvb2:14658000-14658421	User_locus_1791	N	48	35	15	9	17	57	13	71	32	143	118	17
Fvb2:14680954-14681142	User_locus_1792	N	3	3	1	0	0	1	0	12	5	7	13	7
Fvb2:14722496-14722954	User_locus_1793	N	62	50	28	11	48	71	5	78	24	200	123	59
Fvb2:14722957-14723334	User_locus_1794	N	70	82	47	30	5	27	105	243	226	301	140	108
Fvb2:14739208-14739571	User_locus_1795	N	4	19	6	3	0	1	3	16	15	27	47	7
Fvb2:14806584-14807019	User_locus_1796	N	34	0	0	0	1	15	0	0	0	45	39	33
Fvb2:14819711-14820129	User_locus_1797	N	13	10	3	3	3	22	0	23	5	45	14	3
Fvb2:14832410-14832820	User_locus_1798	N	11	25	21	10	13	47	22	77	91	58	44	22
Fvb2:14832828-14833529	User_locus_1799	N	84	59	37	17	23	208	16	294	68	367	184	28
Fvb2:14842808-14843207	User_locus_1800	N	216	118	98	44	24	366	105	332	165	397	207	76
Fvb2:14911826-14912282	User_locus_1801	N	68	73	78	47	16	53	4	50	48	141	133	30
Fvb2:14923076-14923412	User_locus_1802	N	39	36	31	8	1	50	26	369	88	123	70	26
Fvb2:14971268-14971468	User_locus_1803	N	0	0	0	0	0	0	0	1	0	0	0	0
Fvb2:14975780-14976329	User_locus_1804	N	2	8	36	2	0	0	1	129	88	103	120	1
Fvb2:14981465-14981619	User_locus_1805	N	0	0	0	0	1	0	0	0	0	4	0	0
Fvb2:15025762-15026243	User_locus_1806	N	0	2	3	5	5	0	0	18	13	12	3	1
Fvb2:15081415-15081890	User_locus_1807	N	1	0	1	0	0	0	0	0	0	0	0	0
Fvb2:15090858-15091242	User_locus_1808	N	52	38	45	23	34	136	11	116	63	122	131	33
Fvb2:15136128-15136604	User_locus_1809	N	6	0	4	2	0	0	0	18	4	22	2	4
Fvb2:15139815-15140219	User_locus_1810	N	6	4	7	1	0	10	0	6	1	13	23	3
Fvb2:15153345-15154042	User_locus_1811	N	8	4	7	3	0	6	0	23	10	28	34	4
Fvb2:15157908-15158310	User_locus_1812	N	1	6	0	3	0	7	4	12	2	10	3	0
Fvb2:15217155-15217454	User_locus_1813	N	29	11	10	6	15	34	4	53	38	38	16	1
Fvb2:15237368-15237804	User_locus_1814	N	9	5	0	16	0	67	0	24	60	54	47	0
Fvb2:15258390-15258726	User_locus_1815	N	134	112	39	34	11	112	19	130	34	22	30	21
Fvb2:15276353-15276795	User_locus_1816	N	134	100	109	37	29	122	47	295	172	401	195	51
Fvb2:15292930-15293316	User_locus_1817	N	36	15	14	10	14	46	3	52	37	83	43	12
Fvb2:15295569-15295998	User_locus_1818	N	0	27	2	0	1	4	0	21	0	65	58	2
Fvb2:15296006-15296389	User_locus_1819	N	24	14	6	0	1	3	9	55	2	24	10	2
Fvb2:15300687-15301065	User_locus_1820	N	12	25	3	7	1	45	1	8	93	53	84	30
Fvb2:15352197-15352524	User_locus_1821	N	34	20	23	10	0	18	0	11	26	53	34	5
Fvb2:15374681-15375128	User_locus_1822	N	298	7	82	94	8	240	69	398	290	468	1	39
Fvb2:15377618-15378316	User_locus_1823	N	23	12	13	6	3	2	2	19	12	31	15	4
Fvb2:15381928-15382471	User_locus_1824	N	17	19	20	12	0	16	0	14	23	95	37	4
Fvb2:15385342-15385731	User_locus_1825	N	35	41	26	21	8	2	40	141	66	105	9	0
Fvb2:15386079-15386503	User_locus_1826	N	86	48	30	28	31	70	38	144	105	162	42	3
Fvb2:15386508-15386897	User_locus_1827	N	35	8	1	2	10	46	14	136	54	50	6	7
Fvb2:15391017-15391408	User_locus_1828	N	5	15	3	6	3	13	1	79	11	83	48	28
Fvb2:15391445-15391861	User_locus_1829	N	22	10	0	9	3	8	6	137	3	29	0	1
Fvb2:15391877-15392230	User_locus_1830	N	74	65	44	27	42	72	345	625	194	464	8	6
Fvb2:15393677-15394035	User_locus_1831	N	136	120	55	50	49	113	63	497	211	752	739	153
Fvb2:15394368-15394809	User_locus_1832	N	14	10	19	11	0	5	1	30	6	31	16	0
Fvb2:15394818-15395268	User_locus_1833	N	4	0	4	0	2	13	0	9	0	12	6	0
Fvb2:15395269-15395669	User_locus_1834	N	5	1	0	1	2	16	1	12	0	9	0	0
Fvb2:15395672-15396086	User_locus_1835	N	8	1	23	32	4	8	28	58	30	75	4	0
Fvb2:15396087-15396483	User_locus_1836	N	4	3	8	2	0	1	6	8	4	13	7	0
Fvb2:15396501-15396832	User_locus_1837	N	2	5	1	1	0	8	0	4	1	10	14	3
Fvb2:15416891-15417153	User_locus_1838	N	1	1	0	0	0	0	1	2	0	5	6	3
Fvb2:15417208-15417617	User_locus_1839	N	6	0	3	3	0	6	0	13	3	18	13	0
Fvb2:15426881-15427578	User_locus_1840	N	12	1	7	1	2	10	1	15	3	26	8	0
Fvb2:15439459-15440157	User_locus_1841	N	78	73	87	73	238	112	120	446	353	403	328	340
Fvb2:15441324-15441816	User_locus_1842	N	0	0	1	1	0	0	0	1	15	4	1	1
Fvb2:15467175-15467495	User_locus_1843	N	62	59	43	24	7	38	0	42	28	163	109	32
Fvb2:15496264-15496961	User_locus_1844	N	4	2	1	0	0	0	1	11	10	14	4	1
Fvb2:15500153-15500440	User_locus_1845	N	28	56	65	69	5	52	0	100	67	221	151	51
Fvb2:15529235-15529759	User_locus_1846	N	108	83	116	74	14	110	36	186	138	201	176	59
Fvb2:15529922-15530316	User_locus_1847	N	5	1	10	3	6	15	11	38	44	72	31	13
Fvb2:15555548-15555913	User_locus_1848	N	0	0	3	1	1	0	0	0	0	0	0	1
Fvb2:15588239-15588613	User_locus_1849	N	24	14	24	27	1	25	2	16	11	33	14	6
Fvb2:15643771-15644303	User_locus_1850	N	1	0	0	1	0	15	0	0	0	52	0	42
Fvb2:15650620-15651222	User_locus_1851	N	3	3	1	2	0	0	1	3	2	11	3	3
Fvb2:15655688-15655889	User_locus_1852	N	0	0	0	0	0	0	1	2	0	2	0	0
Fvb2:15671287-15671749	User_locus_1853	N	298	192	85	65	51	37	46	237	155	330	26	4
Fvb2:15672149-15672469	User_locus_1854	N	25	29	11	30	22	17	6	44	16	13	15	1
Fvb2:15678168-15678861	User_locus_1855	N	4	3	1	0	0	0	0	6	1	15	4	3
Fvb2:15684689-15685290	User_locus_1856	N	9	4	8	0	0	14	7	68	9	20	7	7
Fvb2:15686785-15687217	User_locus_1857	N	0	2	0	0	0	0	0	4	7	4	1	4
Fvb2:15687218-15687586	User_locus_1858	N	0	0	1	0	0	0	0	0	0	0	0	0
Fvb2:15702885-15703582	User_locus_1859	N	10	10	10	5	7	8	1	18	9	17	13	7
Fvb2:15703706-15704000	User_locus_1860	N	10	10	15	9	2	5	4	16	9	36	14	10
Fvb2:15709158-15709638	User_locus_1861	N	15	10	10	7	2	16	4	29	48	84	39	12
Fvb2:15723977-15724394	User_locus_1862	N	1	0	0	2	0	0	0	5	2	22	6	1
Fvb2:15799562-15799712	User_locus_1863	N	0	0	0	3	0	1	1	3	0	0	2	0
Fvb2:15804585-15805163	User_locus_1864	N	1	5	0	0	0	4	1	4	5	0	6	8
Fvb2:15879471-15879985	User_locus_1865	N	83	67	42	33	4	93	11	91	77	207	125	19
Fvb2:15887240-15887678	User_locus_1866	N	33	51	27	15	12	15	9	96	13	137	46	10
Fvb2:15953539-15953840	User_locus_1867	N	164	112	114	58	10	135	5	119	115	378	251	35
Fvb2:15954159-15954585	User_locus_1868	N	1	0	3	5	0	15	0	28	24	18	5	5
Fvb2:15954603-15954980	User_locus_1869	N	20	34	28	0	7	13	4	52	18	171	123	7
Fvb2:16048941-16049309	User_locus_1870	N	0	3	35	3	0	4	0	8	1	3	2	0
Fvb2:16062740-16063128	User_locus_1871	N	0	0	6	0	2	6	23	25	7	27	1	3
Fvb2:16103358-16103758	User_locus_1872	N	11	14	7	11	0	6	0	18	13	18	9	25
Fvb2:16147528-16147758	User_locus_1873	N	32	0	32	11	0	9	4	4	8	22	4	0
Fvb2:16147834-16148268	User_locus_1874	N	2	5	6	12	5	2	5	36	14	24	15	13
Fvb2:16165764-16166157	User_locus_1875	N	41	26	9	5	5	75	7	66	12	44	21	15
Fvb2:16174039-16174448	User_locus_1876	N	0	0	0	0	0	18	0	0	3	0	1	16
Fvb2:16213785-16214278	User_locus_1877	N	22	0	0	5	0	0	0	1	2	19	10	0
Fvb2:16217512-16218023	User_locus_1878	N	9	4	10	5	1	14	1	20	3	25	13	7
Fvb2:16240182-16240607	User_locus_1879	N	3	1	0	0	0	0	0	8	13	10	8	0
Fvb2:16240728-16241072	User_locus_1880	N	20	27	7	12	5	20	28	81	66	50	0	2
Fvb2:16261455-16261701	User_locus_1881	N	5	0	1	0	3	51	22	28	30	42	22	16
Fvb2:16261760-16262050	User_locus_1882	N	6	0	2	0	0	0	4	12	3	216	1	5
Fvb2:16263672-16264071	User_locus_1883	N	21	4	1	10	12	0	34	57	40	34	33	26
Fvb2:16264961-16265330	User_locus_1884	N	2	2	4	1	0	0	8	3	5	20	10	10
Fvb2:16266175-16266623	User_locus_1885	N	38	24	32	17	9	29	13	79	112	130	98	2
Fvb2:16271809-16272214	User_locus_1886	N	28	12	7	4	0	10	0	13	20	65	49	4
Fvb2:16313648-16314203	User_locus_1887	N	10	2	0	1	2	3	5	12	24	14	6	11
Fvb2:16339363-16339756	User_locus_1888	N	19	5	17	13	1	7	14	54	35	50	3	22
Fvb2:16353184-16353565	User_locus_1889	N	1	0	0	0	0	1	1	12	0	3	4	1
Fvb2:16381858-16382247	User_locus_1890	N	37	38	12	9	12	39	107	158	107	170	16	11
Fvb2:16382258-16382825	User_locus_1891	N	36	2	3	12	0	47	22	44	15	85	1	6
Fvb2:16382826-16383275	User_locus_1892	N	13	4	3	2	4	14	3	16	6	15	13	4
Fvb2:16395479-16395978	User_locus_1893	N	29	20	21	17	5	16	2	31	29	65	53	37
Fvb2:16419587-16420089	User_locus_1894	N	1	11	0	0	0	5	1	0	7	1	6	0
Fvb2:16420090-16420528	User_locus_1895	N	4	0	0	0	2	0	0	0	0	0	0	0
Fvb2:16452643-16453062	User_locus_1896	N	99	40	72	39	7	45	2	37	45	118	76	9
Fvb2:16468171-16468856	User_locus_1897	N	7	5	13	2	0	18	5	31	19	41	74	12
Fvb2:16500233-16500666	User_locus_1898	N	12	15	4	5	0	20	28	85	39	24	11	26
Fvb2:16525167-16525598	User_locus_1899	N	16	1	45	18	0	0	2	10	0	10	8	5
Fvb2:16563991-16564442	User_locus_1900	N	3	5	1	0	0	3	1	4	3	5	8	1
Fvb2:16576661-16577088	User_locus_1901	N	209	182	70	66	103	363	239	956	347	759	428	217
Fvb2:16577093-16577493	User_locus_1902	N	21	31	10	7	7	40	53	149	69	129	50	5
Fvb2:16577500-16577966	User_locus_1903	N	3	2	0	0	0	9	33	49	19	4	8	5
Fvb2:16621053-16621484	User_locus_1904	N	31	8	4	9	1	108	4	46	19	84	87	23
Fvb2:16621866-16622140	User_locus_1905	N	4	0	4	0	0	12	1	20	2	14	5	6
Fvb2:16638343-16638739	User_locus_1906	N	61	48	65	21	56	298	55	231	214	169	87	63
Fvb2:16655595-16655795	User_locus_1907	N	81	63	57	43	4	17	3	39	13	40	19	7
Fvb2:16660169-16660449	User_locus_1908	N	27	46	0	3	0	0	5	104	80	322	212	7
Fvb2:16677933-16678338	User_locus_1909	N	14	8	19	4	0	19	7	97	50	79	27	4
Fvb2:16678365-16678699	User_locus_1910	N	55	40	29	19	12	43	64	135	80	57	9	9
Fvb2:16679173-16679617	User_locus_1911	N	31	13	4	6	13	40	60	134	51	37	11	9
Fvb2:16679628-16679909	User_locus_1912	N	38	24	21	11	59	91	167	277	177	94	31	14
Fvb2:16679950-16680347	User_locus_1913	N	13	14	9	0	31	5	56	198	70	65	42	30
Fvb2:16773929-16774341	User_locus_1914	N	21	17	6	5	6	54	3	28	17	56	24	13
Fvb2:16778180-16778466	User_locus_1915	N	4	6	2	3	16	7	6	35	53	122	8	1
Fvb2:16818989-16819397	User_locus_1916	N	24	17	10	0	0	86	41	104	61	51	76	33
Fvb2:16850828-16851522	User_locus_1917	N	1	1	3	5	5	6	2	151	3	25	11	10
Fvb2:16861938-16862229	User_locus_1918	N	31	13	13	0	1	10	0	34	46	61	51	8
Fvb2:16877438-16877813	User_locus_1919	N	65	48	21	46	4	87	9	63	17	53	94	10
Fvb2:16952869-16953546	User_locus_1920	N	0	1	0	0	0	0	0	0	0	2	1	2
Fvb2:16989854-16990131	User_locus_1921	N	62	35	50	23	22	118	32	163	117	292	197	46
Fvb2:16990259-16990667	User_locus_1922	N	12	16	16	7	0	0	8	13	19	21	10	0
Fvb2:17017366-17017811	User_locus_1923	N	16	25	41	1	7	96	38	102	19	135	53	0
Fvb2:17023090-17023597	User_locus_1924	N	18	16	16	2	7	18	5	71	31	53	49	17
Fvb2:17042365-17042589	User_locus_1925	N	1	1	0	0	0	0	0	1	1	1	0	1
Fvb2:17081498-17082122	User_locus_1926	N	15	12	6	3	0	34	2	32	23	68	46	20
Fvb2:17096634-17096988	User_locus_1927	N	96	76	58	42	21	303	20	262	140	296	308	97
Fvb2:17126112-17126809	User_locus_1928	N	2	6	2	3	7	10	2	21	35	26	21	8
Fvb2:17140752-17141305	User_locus_1929	N	57	39	92	30	24	315	73	454	403	629	340	149
Fvb2:17166006-17166445	User_locus_1930	N	14	6	7	4	0	14	11	39	15	68	29	14
Fvb2:17435460-17435876	User_locus_1931	N	15	17	24	15	6	17	5	31	15	107	22	15
Fvb2:17461545-17461980	User_locus_1932	N	84	205	56	55	26	16	66	258	118	188	93	30
Fvb2:17462057-17462312	User_locus_1933	N	104	89	79	80	0	1	63	366	262	408	263	85
Fvb2:17462892-17463173	User_locus_1934	N	15	14	19	22	3	7	67	158	55	90	1	0
Fvb2:17463187-17463639	User_locus_1935	N	40	32	26	4	22	39	138	343	65	258	6	2
Fvb2:17463640-17463996	User_locus_1936	N	34	38	18	11	141	383	554	1569	362	560	252	36
Fvb2:17464056-17464517	User_locus_1937	N	33	32	20	3	21	65	188	627	208	244	106	20
Fvb2:17464518-17464899	User_locus_1938	N	5	2	7	0	0	0	6	26	14	23	10	2
Fvb2:17465419-17465831	User_locus_1939	N	60	57	36	29	38	57	478	1049	171	313	14	16
Fvb2:17465871-17466156	User_locus_1940	N	28	14	17	7	2	0	63	160	53	47	1	1
Fvb2:17466160-17466651	User_locus_1941	N	34	21	10	2	38	25	105	401	56	182	29	3
Fvb2:17466657-17466957	User_locus_1942	N	24	25	3	6	58	36	207	397	73	149	9	3
Fvb2:17466992-17467426	User_locus_1943	N	34	37	15	10	51	69	588	936	131	195	18	13
Fvb2:17535892-17536309	User_locus_1944	N	17	36	17	28	6	55	12	86	49	133	73	26
Fvb2:17537340-17538037	User_locus_1945	N	0	1	3	0	1	2	1	6	2	7	10	1
Fvb2:17579709-17580364	User_locus_1946	N	5	3	3	3	50	61	1	560	15	28	14	3
Fvb2:17586989-17587687	User_locus_1947	N	3	0	3	7	1	2	0	17	5	7	5	5
Fvb2:17637275-17637801	User_locus_1948	N	265	182	204	113	65	246	18	326	214	767	445	62
Fvb2:17763602-17763948	User_locus_1949	N	153	121	205	172	7	41	31	147	141	265	154	61
Fvb2:17798787-17799171	User_locus_1950	N	11	11	22	13	10	68	6	281	58	118	127	89
Fvb2:17799178-17799565	User_locus_1951	N	0	1	2	1	0	0	0	43	8	25	31	2
Fvb2:17844033-17844475	User_locus_1952	N	12	14	1	8	1	16	2	27	18	43	36	0
Fvb2:17850308-17850749	User_locus_1953	N	0	0	0	0	1	4	0	9	2	9	0	1
Fvb2:17870289-17870533	User_locus_1954	N	67	27	21	26	2	32	3	88	35	123	94	14
Fvb2:17897489-17897955	User_locus_1955	N	6	5	0	2	0	8	1	8	3	3	0	5
Fvb2:17900488-17900959	User_locus_1956	N	16	15	0	0	0	40	0	68	22	26	11	6
Fvb2:17900967-17901313	User_locus_1957	N	3	2	4	0	2	7	3	37	35	20	11	11
Fvb2:17901323-17901787	User_locus_1958	N	83	35	138	55	39	53	26	57	164	252	133	45
Fvb2:17959233-17959687	User_locus_1959	N	106	72	52	35	10	69	16	77	50	181	76	39
Fvb2:17974961-17975355	User_locus_1960	N	26	11	49	21	11	27	30	49	107	143	95	60
Fvb2:17975356-17975818	User_locus_1961	N	12	3	6	1	1	13	1	13	9	18	31	7
Fvb2:18008703-18009139	User_locus_1962	N	1	9	0	0	0	1	0	2	4	11	0	0
Fvb2:18009142-18009465	User_locus_1963	N	12	7	6	0	0	1	0	8	12	35	10	2
Fvb2:18009470-18009902	User_locus_1964	N	24	0	37	11	0	0	6	0	7	46	6	4
Fvb2:18009914-18010261	User_locus_1965	N	10	3	13	4	0	2	5	33	36	88	8	1
Fvb2:18028460-18028918	User_locus_1966	N	0	0	1	1	0	17	0	5	0	0	0	0
Fvb2:18089348-18089746	User_locus_1967	N	19	6	4	5	3	3	3	4	4	25	14	12
Fvb2:18089776-18090063	User_locus_1968	N	17	7	6	3	0	19	17	19	33	25	10	4
Fvb2:18090629-18090818	User_locus_1969	N	7	9	6	1	0	4	12	50	16	15	9	0
Fvb2:18113299-18113687	User_locus_1970	N	2	3	2	2	0	2	0	17	0	12	3	3
Fvb2:18155014-18155471	User_locus_1971	N	31	17	6	4	0	42	3	32	10	39	56	24
Fvb2:18187542-18187944	User_locus_1972	N	16	4	16	2	7	17	5	55	60	70	60	36
Fvb2:18218149-18218448	User_locus_1973	N	9	14	10	0	21	41	10	26	13	87	53	48
Fvb2:18290543-18290880	User_locus_1974	N	24	9	2	4	0	14	2	23	2	46	5	0
Fvb2:18349835-18350189	User_locus_1975	N	0	1	1	3	2	0	0	12	0	7	0	0
Fvb2:18389392-18389714	User_locus_1976	N	1	0	1	2	0	7	0	14	1	8	15	1
Fvb2:18397737-18398013	User_locus_1977	N	0	0	0	0	0	0	0	0	0	0	0	0
Fvb2:18398126-18398447	User_locus_1978	N	26	0	3	0	12	4	10	4	4	34	40	18
Fvb2:18402654-18403077	User_locus_1979	N	0	0	0	0	0	0	1	0	0	22	56	0
Fvb2:18406123-18406312	User_locus_1980	N	0	0	0	0	0	0	0	0	0	0	0	0
Fvb2:18406321-18406632	User_locus_1981	N	73	0	0	0	23	0	0	0	0	0	0	0
Fvb2:18407619-18408316	User_locus_1982	N	213	136	48	155	89	276	0	81	118	557	628	255
Fvb2:18412453-18412718	User_locus_1983	N	0	0	0	0	0	0	0	0	0	0	0	0
Fvb2:18445571-18446269	User_locus_1984	N	0	2	24	31	0	14	8	4	30	27	23	0
Fvb2:18516401-18516725	User_locus_1985	N	0	2	0	1	0	0	0	0	0	4	5	1
Fvb2:18549817-18550295	User_locus_1986	N	23	12	30	1	1	23	1	49	52	67	47	9
Fvb2:18553510-18553799	User_locus_1987	N	39	18	8	3	0	38	0	17	7	53	69	3
Fvb2:18569815-18570150	User_locus_1988	N	0	0	7	1	1	0	1	0	1	3	7	1
Fvb2:18570020-18570419	User_locus_1989	N	0	0	2	0	0	0	0	0	4	2	7	0
Fvb2:18571678-18571919	User_locus_1990	N	0	0	0	0	0	0	0	0	0	0	0	0
Fvb2:18582288-18582734	User_locus_1991	N	2	1	0	0	0	0	0	0	0	0	0	1
Fvb2:18586828-18587046	User_locus_1992	N	15	13	12	1	8	24	6	43	21	75	61	7
Fvb2:18588967-18589301	User_locus_1993	N	0	1	10	1	1	0	0	10	5	21	16	2
Fvb2:18593792-18594076	User_locus_1994	N	7	10	10	0	0	0	6	54	65	29	7	3
Fvb2:18594351-18594663	User_locus_1995	N	0	5	6	0	0	0	0	16	10	31	3	14
Fvb2:18614151-18614515	User_locus_1996	N	4	0	5	1	0	0	2	3	4	24	9	0
Fvb2:18621746-18622110	User_locus_1997	N	1	0	0	0	0	4	0	21	2	4	16	0
Fvb2:18622122-18622538	User_locus_1998	N	24	16	8	6	3	6	1	32	15	63	49	3
Fvb2:18631832-18632222	User_locus_1999	N	1	2	12	5	6	4	6	11	9	26	8	8
Fvb2:18632742-18633145	User_locus_2000	N	10	6	0	9	0	11	2	13	42	30	7	6
Fvb2:18720418-18720926	User_locus_2001	N	0	0	1	0	0	0	0	0	0	0	0	0
Fvb2:18723873-18724256	User_locus_2002	N	54	12	59	13	29	34	20	103	65	63	35	14
Fvb2:18764234-18764630	User_locus_2003	N	1	1	6	4	4	1	8	22	11	33	26	11
Fvb2:18775534-18775835	User_locus_2004	N	14	15	16	13	0	28	27	67	47	103	14	5
Fvb2:18843848-18844233	User_locus_2005	N	50	19	20	17	0	21	2	70	57	95	90	29
Fvb2:18844601-18845035	User_locus_2006	N	0	0	0	10	0	22	10	114	31	67	9	18
Fvb2:18853092-18853347	User_locus_2007	N	6	1	1	1	0	1	0	4	0	1	8	0
Fvb2:18864331-18864765	User_locus_2008	N	7	5	10	6	2	2	0	1	21	23	7	5
Fvb2:18864770-18865128	User_locus_2009	N	26	18	23	18	3	37	11	45	114	90	27	13
Fvb2:18865135-18865593	User_locus_2010	N	31	22	14	10	2	52	11	59	103	126	47	18
Fvb2:18880303-18880732	User_locus_2011	N	8	16	13	21	0	3	12	81	81	112	56	26
Fvb2:18880744-18881075	User_locus_2012	N	19	14	3	9	7	68	33	137	96	107	88	47
Fvb2:18907559-18908017	User_locus_2013	N	37	45	20	11	0	20	18	171	100	188	50	26
Fvb2:18908147-18908365	User_locus_2014	N	150	91	172	92	34	36	65	240	162	510	391	233
Fvb2:18975973-18976462	User_locus_2015	N	10	3	3	3	3	42	1	93	24	49	42	22
Fvb2:19004705-19005402	User_locus_2016	N	50	50	10	13	8	48	7	63	50	70	60	10
Fvb2:19030404-19030731	User_locus_2017	N	2	2	0	0	1	0	1	2	2	8	7	2
Fvb2:19059094-19059514	User_locus_2018	N	33	61	47	22	6	65	1	53	44	72	71	17
Fvb2:19062313-19062734	User_locus_2019	N	16	32	2	0	23	76	3	26	19	111	49	11
Fvb2:19189950-19190479	User_locus_2020	N	4	3	8	0	0	13	3	12	7	15	3	0
Fvb2:19191535-19191968	User_locus_2021	N	3	12	0	0	0	7	24	38	16	37	15	8
Fvb2:19191969-19192368	User_locus_2022	N	11	12	14	0	21	29	9	37	7	18	14	8
Fvb2:19192369-19192861	User_locus_2023	N	2	0	0	0	0	0	0	0	0	0	0	0
Fvb2:19210767-19211464	User_locus_2024	N	29	23	2	0	0	34	2	39	21	31	37	11
Fvb2:19247954-19248551	User_locus_2025	N	40	28	16	8	5	21	0	28	58	62	37	21
Fvb2:19263227-19263664	User_locus_2026	N	15	12	12	6	0	58	9	55	29	90	49	7
Fvb2:19272323-19272594	User_locus_2027	N	2	11	6	6	2	0	2	26	17	47	42	2
Fvb2:19276897-19277137	User_locus_2028	N	0	0	14	11	0	0	1	32	2	14	20	2
Fvb2:19305024-19305347	User_locus_2029	N	133	83	103	51	25	158	37	273	136	313	140	96
Fvb2:19420379-19420855	User_locus_2030	N	2	1	5	10	0	5	2	4	7	9	7	0
Fvb2:19475014-19475495	User_locus_2031	N	98	96	61	31	33	117	55	218	117	313	242	55
Fvb2:19508550-19508939	User_locus_2032	N	3	20	4	11	20	40	61	263	92	220	65	15
Fvb2:19580543-19581236	User_locus_2033	N	13	15	19	27	4	12	8	36	52	74	31	16
Fvb2:19614118-19614537	User_locus_2034	N	64	31	33	10	2	84	36	98	69	187	69	17
Fvb2:19628691-19629194	User_locus_2035	N	7	9	11	4	12	0	0	49	45	47	21	13
Fvb2:19666633-19667330	User_locus_2036	N	69	61	58	28	26	91	10	246	149	242	144	60
Fvb2:19677744-19678172	User_locus_2037	N	0	2	1	0	0	2	0	1	1	0	2	2
Fvb2:19687795-19688338	User_locus_2038	N	0	1	1	0	0	1	1	2	2	0	1	0
Fvb2:19962272-19962696	User_locus_2039	N	29	23	19	19	6	42	21	108	134	66	54	13
Fvb2:20098905-20099325	User_locus_2040	N	35	25	28	2	0	42	0	57	24	64	71	14
Fvb2:20100471-20101169	User_locus_2041	N	0	0	11	22	6	29	23	82	23	114	16	9
